,I,pump%,Seed,TaChPres,TaChPres_er,Calori,Calori_er,Ha,Hb,Hc,Q22,Q11,Q00,Te,Ne,merge_ID,
103,,,,,,,,,122,122,,,,,,31,
104,,,,,,,,,123,123,,,,,,31,
105,,,,,,,,,124,124,,,,,,31,
106,,,,,,,,,125,125,,,,,,31,
107,,,,,,,,,126,126,,,,,,31,
108,,,,,,,,,127,127,,,,,,31,
109,,,,,,,,,128,128,,,,,,24,
110,,,,,,,,,157,157,,,,,,24,
111,,,,,,,,,159,159,,,,,,32,
112,,,,,,,,,160,160,,,,,,33,
113,,,,,,,,,161,161,,,,,,34,
114,,,,,,,,,162,162,,,,,,35,
115,,,,,,,,,163,163,,,,,,36,
116,,,,,,,,,164,164,,,,,,37,
117,,,,,,,,,165,165,,,,,,38,
118,,,,,,,,,166,166,,,,,,39,
119,,,,,,,,,168,168,,,,,,40,
120,,,,,,,,,169,169,,,,,,41,
121,,,,,,,,,170,170,,,,,,42,
122,,,,,,,,,171,171,,,,,,43,
123,,,,,,,,,172,172,,,,,,44,
124,,,,,,,,,173,173,,,,,,45,
125,,,,,,,,,174,174,,,,,,46,
126,,,,,,,,,175,175,,,,,,47,
127,,,,,,,,,176,176,,,,,,48,
128,,,,,,,,,177,177,,,,,,49,
129,,,,,,,,,178,178,,,,,,50,
130,,,,,,,,,179,179,,,,,,51,
131,,,,,,,,,180,180,,,,,,52,
132,,,,,,,,,181,181,,,,,,53,Copy of 26 with only sensitivity
133,,,,,,,,,182,182,,,,,,53,
134,,,,,,,,,183,183,,,,,,53,
135,,,,,,,,,184,184,,,,,,53,
136,,,,,,,,,185,185,,,,,,53,
137,,,,,,,,,186,186,,,,,,54,
138,,,,,,,,,187,187,,,,,,55,NOTE: no real measurement
139,,,,,,,,,188,188,,,,,,56,NOTE: no real measurement
140,,,,,,,,,189,189,,,,,,57,NOTE: no real measurement
141,,,,,,,,,206,206,,,,,,58,FAKE copy of merge 43
142,,,,,,,,,207,207,,,,,,59,FAKE copy of merge 43
143,,,,,,,,,208,208,,,,,,60,FAKE copy of merge 43
144,,,,,,,,,209,209,,,,,,61,FAKE copy of merge 43
145,,,,,,,,,210,210,,,,,,62,FAKE copy of merge 43
146,,,,,,,,,211,211,,,,,,63,FAKE copy of merge 43
147,,,,,,,,,212,212,,,,,,64,FAKE copy of merge 43
