merge,B,Seed,p_n [Pa],CB energy [J],Delivered energy [J],T_axial,Target,area_equiv_max_static_pressure,max_average_static_pressure,average_static_pressure,average_Te,average_ne,power_rad_excit,power_rad_excit_sigma,power_rad_rec_bremm,power_rad_rec_bremm_sigma,power_rad_mol,power_rad_mol_sigma,power_via_ionisation,power_via_ionisation_sigma,power_via_recombination,power_via_recombination_sigma,tot_rad_power,tot_rad_power_sigma,power_rad_Hm,power_rad_Hm_sigma,power_rad_Hm_H2p,power_rad_Hm_H2p_sigma,power_rad_Hm_Hp,power_rad_Hm_Hp_sigma,power_rad_H2,power_rad_H2_sigma,power_rad_H2p,power_rad_H2p_sigma,power_heating_rec,power_heating_rec_sigma,power_rec_neutral,power_rec_neutral_sigma,power_via_brem,power_via_brem_sigma,total_removed_power,total_removed_power_sigma,local_CX,local_CX_sigma,max_CX_energy,max_CX_energy_sigma,net_power_removed_plasma_column,net_power_removed_plasma_column_sigma,fast_camera_record_duration_OES,fast_camera_record_duration_long
82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013419816595839856,0.0013419816595839856
85.0,1.3,19.5,15.04,47.99999999999999,65.87988740931289,31.2,TZM thin,0.00011943044372069173,512.6487192327229,3577.017450963632,2.418586733311748,39.81118143478579,5.459254247162267,0.6305023131233152,8.901466243174408,0.14986145418444696,33.58291513092108,0.8756402049728216,20.569002250751726,3.0969741444573184,15.066815415041466,0.29819674364836235,47.561954778405436,1.2089031386024658,17.029172792139242,0.7871475479840928,0.08357046422145809,0.007768662860855542,16.90452087900568,0.8640621230935315,0.01624415523532622,0.004253858034214852,16.29166632664035,1.0545131206235352,6.202270858976696,0.14009751543354154,1.6313965753117388,0.027688844086851128,0.013308966764795713,0.00021372995810761512,148.74143875183393,12.10684631203651,467.1153991131421,41.30869817954053,4.165512979403278,0.3267880585447236,49.37318628782694,1.1104267960110228,0.0006859017371207037,0.0006859017371207037
86.0,1.3,15.0,11.847000000000001,47.99999999999999,66.00564584003737,31.2,TZM thin,0.00010930237655225924,493.204170011862,3838.474124195785,2.6512549877735614,41.95749173073585,10.64913002976125,1.5830606960058642,2.7212882334944055,0.05409930681411845,51.928471293513056,0.7176137440347752,31.643547170920257,3.9769621292041837,4.419591534352301,0.09024332015604264,64.80166477791246,1.6022423584089438,20.255167516640583,0.9710034008597646,0.2094609744082262,0.010968887857357182,20.184157110944234,0.9784521217790498,0.00658357086781745,0.0020308086806693237,31.522857377469542,1.4796935853005184,1.7061913440927132,0.03766645102301236,0.670655553952842,0.009837505189549456,0.013648769881931432,0.00011338795954450066,349.03892967865767,14.209250403894089,600.2864063523124,131.39425126088392,4.483871448874556,0.096097027572283,65.50495973613747,1.6629999885802107,0.0006859017371207037,0.0007157235517781258
87.0,1.3,10.0,8.17,47.99999999999999,66.08243877681332,31.2,TZM thin,0.00010864692018832414,494.699360843427,5391.459019269714,3.8982382215527593,44.21570480481363,3.4852236996312795,0.34876507032035153,7.988535196680429,0.13222077725083814,28.03627389166077,0.719475473731606,16.10544969046369,1.9178366755930607,12.982182719404635,0.2428203016630724,39.713054727858335,0.6569145324664447,16.621296636011714,0.7436726942003036,0.16366490282326746,0.0114761821222744,16.697605017727575,0.7377606967738268,0.04409244396627303,0.017840301668640354,11.559942935236617,0.6764314502389377,5.033740227740669,0.09279462005588003,1.3471469316745392,0.017411546801515576,0.011067186746714218,0.00016314973070803013,115.50152265448436,8.886686118670838,341.17303490855164,35.427662681399084,2.7956136100941897,0.3425807123181286,41.01386956536453,0.8047844881086839,0.00043241631253261765,0.0007604562737642585
88.0,1.3,5.0,4.37,47.99999999999999,66.3038953994773,31.2,TZM thin,0.0001121788307568174,468.4827492562514,6647.254866897409,6.152376562968925,35.941934328640585,152.4053708763036,4.413185591630537,0.8084157575280272,0.004749494984680247,15.147819965711308,0.744279271448927,368.29675134328767,10.565255250486787,1.226667136621917,0.007345136177080325,168.3341053428621,4.0128055185729465,2.504103283930573,0.2438677620787777,0.07761205978460199,0.003311353874464857,2.3524867489273045,0.1869481372923069,0.05913734213710516,0.019764234181786564,12.468119370597561,0.7186607098769917,0.428176160330752,0.004589970740206811,0.2704219500113295,0.0020985587989247323,0.010327684223285602,0.00010503010521354696,,,2946.962894834928,108.23491284873327,0.2648327779038326,0.018066547810071096,168.56935463957848,4.015881726980737,0.0002385745172593752,0.0008200999030791023
89.0,1.3,0.0,0.5158,47.99999999999999,66.4707354706164,31.2,TZM thin,9.444459496495245e-05,396.83447980284376,6289.466085360295,8.928653896453389,22.64256550424325,11.960718681311445,0.5692521650758637,0.4801481681788661,0.022326951482570908,3.9746090561707743,0.1354083831049957,29.88440715636541,1.7903763014335787,0.5785430466823756,0.026498682504041585,16.44702361079704,0.5182456439857583,0.2466558763446594,0.014567222272106441,0.05458190028936062,0.003823354938758222,0.18981023177204634,0.014994389358717787,0.11474678802643976,0.039712033128878,3.6083019710683706,0.12809984769252725,0.09400156856157983,0.005145564838652085,0.07511716239556036,0.002100926005342118,0.002541025060790291,4.467503169245149e-05,45.94924926753309,2.452677688157195,244.18322531856785,10.060964023536656,0.2484327773366809,0.01356013897955892,16.635449268099393,0.527676769513155,1.4910907328710953e-05,0.00093938716170879
90.0,1.3,19.5,15.04,47.99999999999999,66.07259469437267,16.2,TZM thin,0.00010705151590461996,434.0398094791941,3069.061895062547,2.3820608493276514,34.76143451544949,5.138077689759354,0.4402450072350379,0.8979792430994421,0.05052690098295587,35.34337702288993,16.49591917278525,16.598705309958962,1.3057877054413032,1.2889647245674252,0.0644648792892909,33.93620794007252,19.839338455636682,0.681243923884518,0.1749981041706971,0.033041831053838684,0.021659339184578352,0.6503084773341643,0.14719767313242282,0.23147531157908074,0.04417856702798513,24.16701354935467,16.37374084025833,0.3909067800558691,0.021865809516217527,0.19818415005052287,0.007046809969079416,0.005655429988017798,0.00010457875717783576,27.830495465901688,20.95950578043349,135.4583087011842,14.120810228983245,5.652697791263405,0.16579164908719424,34.39179045199224,19.92630156728432,0.0007008126444494147,0.0007008126444494147
91.0,1.3,19.5,15.04,47.99999999999999,66.07586622418383,11.2,TZM thin,0.00010778645302390971,403.8506823924837,3174.1396768591194,2.3989145368484928,37.21572876364423,4.102321307245433,0.45292596307987104,0.7235671289234068,0.03819338551782814,38.12228507107002,14.795272128776665,12.082096550013768,1.322248312266737,1.0642268909949224,0.053326361194222134,38.58321565102053,18.635630224819973,0.4457171031623309,0.1394909746858819,0.04742674304939591,0.03940934100008758,0.4205348044257352,0.08336118027616568,0.09716414269326322,0.02630233627581635,47.67329357642855,14.236562440568125,0.33545198465803583,0.020567463732580855,0.1608169362763878,0.007012821371637154,0.003969083796650318,0.00010366301012524606,47.99357641694349,19.412654598687254,114.34891183121314,13.048184407106431,2.257841848043641,0.1762634559317091,40.099472769814746,19.016674553522037,0.0006859017371207037,0.0006859017371207037
